t1,t2,q
36.80443183,36.8062834,2.552630507
36.8062834,36.80765065,2.552322389
36.80765065,36.80919766,2.55263226
36.80919766,36.81064224,2.552677049
36.81064224,36.81218259,2.552910295
36.81218259,36.81366696,2.55300089
36.81366696,36.81509846,2.553089281
36.81509846,36.81652898,2.553224529
36.81652898,36.81815848,2.553559637
36.81815848,36.819571,2.553497723
36.819571,36.82143331,2.55408193
36.82143331,36.82309055,2.554054092
36.82309055,36.824368,2.553832
36.824368,36.82581456,2.55412268
36.82581456,36.82722657,2.554225787
36.82722657,36.8285398,2.554261377
36.8285398,36.8300603,2.554593621
36.8300603,36.83140049,2.554557998
36.83140049,36.83271603,2.55466089
36.83271603,36.83400955,2.554764056
36.83400955,36.83529645,2.554880535
36.83529645,36.83699143,2.555411075
36.83699143,36.83840097,2.555286943
36.83840097,36.83960405,2.555214607
36.83960405,36.84086431,2.555386285
36.84086431,36.84208327,2.555464906
36.84208327,36.84357975,2.55585843
36.84357975,36.84491212,2.555836727
36.84491212,36.84613391,2.555852943
36.84613391,36.84732121,2.55593472
36.84732121,36.84850284,2.556042029
36.84850284,36.84975142,2.556221433
36.84975142,36.85108321,2.556423463
36.85108321,36.85221407,2.556349262
36.85221407,36.85337162,2.556483577
36.85337162,36.85449866,2.556563222
36.85449866,36.85585817,2.556902935
36.85585817,36.85688132,2.556695952
36.85688132,36.85802908,2.556917931
36.85802908,36.85916309,2.557013405
36.85916309,36.86023917,2.55706339
36.86023917,36.86149285,2.557343391
36.86149285,36.86282568,2.557541843
36.86282568,36.86379073,2.557300904
36.86379073,36.86509881,2.557735766
36.86509881,36.86611507,2.557568424
36.86611507,36.86721256,2.557746366
36.86721256,36.86821594,2.557756705
36.86821594,36.86938832,2.55802118
36.86938832,36.87067644,2.558248485
36.87067644,36.87188329,2.5582898
36.87188329,36.87282024,2.558134744
36.87282024,36.87383026,2.558296978
36.87383026,36.87479306,2.558345876
36.87479306,36.87608667,2.558768308
36.87608667,36.87701504,2.558526174
36.87701504,36.87811349,2.558784591
36.87811349,36.87913091,2.558808098
36.87913091,36.88035174,2.559108333
36.88035174,36.88148129,2.559133228
36.88148129,36.88263435,2.559264226
36.88263435,36.88376162,2.559348165
36.88376162,36.88488419,2.55945074
36.88488419,36.88569828,2.559249086
36.88569828,36.88691115,2.559725331
36.88691115,36.88765801,2.559374752
36.88765801,36.88858767,2.559628613
36.88858767,36.88942204,2.559621801
36.88942204,36.89028705,2.559731843
36.89028705,36.89112856,2.559790654
36.89112856,36.89197726,2.559877922
36.89197726,36.89281089,2.559943622
36.89281089,36.8939145,2.560292929
36.8939145,36.89463322,2.560013063
36.89463322,36.89549955,2.560229072
